Delta i (deg),Rayleigh (log-U Pr),Rayleigh (TG Pr),Gaussian (log-U Pr),Gaussian (TG Pr),Tr. Gaussian (U Pr)
36.2,0.003164559232071074,0.0033934057481524844,1.0970282910176594e-06,0.00018414499749540305,0.0048681774529361534
36.300000000000004,0.0030982883258076736,0.0033240176373727824,9.84518824698309e-07,0.00017365267730818528,0.0048314329860068145
36.4,0.003033182041222408,0.0032558133180368392,8.829411269137062e-07,0.00016371082285115865,0.004794965796662061
36.5,0.0029692255093479777,0.003188778379344472,7.910115462501795e-07,0.00015429350785728979,0.0047587737930532064
36.6,0.0029064039142572455,0.003122898446769845,7.082845949651408e-07,0.00014537585156639563,0.004722854899070247
36.7,0.0028447024966327767,0.0030581591858059665,6.338794493992554e-07,0.00013693398656295752,0.00468720705428404
36.800000000000004,0.0027841065572293145,0.002994546305606593,5.669952968908213e-07,0.00012894502704372993,0.004651828213804136
36.9,0.002724601460230109,0.0029320455625263357,5.069045103966344e-07,0.0001213870375438518,0.004616716348161677
37.0,0.002666172636498138,0.0028706427635597056,4.529463612679144e-07,0.00011423900214760143,0.0045818694431952476
37.1,0.0026088055867232365,0.00281032376968001,4.045212319962408e-07,0.00010748079420747036,0.004547285499933376
37.2,0.002552485884466191,0.0027510744990788876,3.61085293057111e-07,0.00010109314659282641,0.004512962534488266
37.300000000000004,0.0024971991791009297,0.002692880930307451,3.2214561018799083e-07,9.505762248716431e-05,0.004478898577923533
37.4,0.0024429311986558728,0.0026357291053198846,2.8725565054422803e-07,8.93565867507233e-05,0.004445091676170126
37.5,0.0023896677525556227,0.002579605132420513,2.5601115818212595e-07,8.397317786315665e-05,0.004411539889889655
37.6,0.0023373947342641864,0.002524495189115309,2.2804637122526275e-07,7.889128045891378e-05,0.00437824129436156
37.7,0.0022860981238308565,0.002470385524868795,2.0303055488021343e-07,7.40954984660715e-05,0.004345193979408748
37.800000000000004,0.002235763990340019,0.0024172624637674362,1.8066482618368393e-07,6.9571128857524e-05,0.004312396049234197
37.9,0.0021863784942660995,0.002365112407090537,1.6067924798711915e-07,6.530413602169304e-05,0.004279845622354218
38.0,0.002137927889734904,0.002313921835789705,1.4283017122008174e-07,6.12811267582681e-05,0.004247540831476587
38.1,0.0020903985266926372,0.0022636773128780234,1.2689780592301343e-07,5.748932590292687e-05,0.004215479823389698
38.2,0.0020437768529838678,0.00221436548573,1.1268400290632243e-07,5.3916552583498304e-05,0.004183660758864098
38.300000000000004,0.0019980494163397517,0.0021659730882934514,1.0001022917933134e-07,5.059029923138713e-05,0.0041520818125412775
38.400000000000006,0.0019532028662778383,0.002118486943214447,8.871572150255222e-08,4.746207552621725e-05,0.004120741172832874
38.5,0.0019092239559147953,0.0020718939638765398,7.865580355317756e-08,4.4514733213908385e-05,0.004089637041803749
38.6,0.0018660995436933486,0.0020261811563553576,6.970035325986892e-08,4.1738649740361495e-05,0.004058767635102602
38.7,0.0018238165950249029,0.001981335621289902,6.173240786201752e-08,3.912466106207463e-05,0.00402813118181672
38.800000000000004,0.0017823621838490545,0.0019373445556716046,5.464689518370705e-08,3.666404306169264e-05,0.003997725924393075
38.900000000000006,0.0017417234941115153,0.0018941952545524824,4.83494804869409e-08,3.4348493524404724e-05,0.003967550118557356
39.0,0.0017018878211617276,0.001851875112673566,4.2755519085130125e-08,3.2170114669585824e-05,0.003937602033161261
39.1,0.0016628425730716226,0.0018103716260148618,3.776731435134698e-08,3.0121396231373495e-05,0.0039078799501341905
39.2,0.0016245752718768835,0.001769672393268105,3.331054968870472e-08,2.8195199081220862e-05,0.0038783821643575754
39.300000000000004,0.001587073554742123,0.0017297651172335504,2.9364045044053868e-08,2.6384739384867697e-05,0.003849106983577927
39.400000000000006,0.001550325175051382,0.0016906376061420797,2.5871306138856174e-08,2.46835732856358e-05,0.0038200527283027623
39.5,0.0015143180034253596,0.0016522777749038995,2.278186245166979e-08,2.3085582105462933e-05,0.0037912177317130946
39.6,0.0014790400286667682,0.001614673646285105,2.005065194947866e-08,2.1584958054652337e-05,0.003762600339555732
39.7,0.0014444793586352494,0.0015778133520134023,1.7637465589342695e-08,2.017619044092453e-05,0.0037341989100589117
39.800000000000004,0.0014106242210532355,0.0015416851338142684,1.5506446123572237e-08,1.88540523680113e-05,0.0037060118138397525
39.900000000000006,0.001377462964244201,0.0015062773443788647,1.362563620523246e-08,1.761358791373342e-05,0.0036780374337906123
40.0,0.0013449840578046708,0.0014715784482649485,1.1966571218849394e-08,1.6450099777239957e-05,0.0036502741650201675
40.1,0.0013131760932114183,0.001437577022732127,1.0503912656079834e-08,1.5359137384870603e-05,0.003622720414736023
40.2,0.001282027784365294,0.001404261758512757,9.215118220032665e-09,1.4336485443917408e-05,0.00359537460214877
40.300000000000004,0.0012515279680730001,0.0013716214605197102,8.08014517699206e-09,1.3378152933413639e-05,0.003568235158414264
40.400000000000006,0.0012216656044682845,0.0013396450484924017,7.0811837825118415e-09,1.2480362520966584e-05,0.0035413005265026456
40.5,0.0011924297773739235,0.0013083215575822897,6.202417892085623e-09,1.163954039456612e-05,0.0035145691611402
40.6,0.001163809694605859,0.0012776401388791916,5.429810126653648e-09,1.085230649824803e-05,0.003488039528704495
40.7,0.001135794688220915,0.001247590059879684,4.750909201754393e-09,1.0115465160467843e-05,0.003461710107144534
40.800000000000004,0.0011083742147094148,0.0012181607048988665,4.15467724774654e-09,9.425996104038817e-06,0.003435579385887147
40.900000000000006,0.0010815378551341157,0.0011893415754267852,3.631335148705936e-09,8.781045826515215e-06,0.0034096458657567295
41.0,0.0010552753152167802,0.0011611222904307763,3.1722241107285194e-09,8.177919339948495e-06,0.003383908058887657
41.1,0.001029576425373754,0.0011334925866050077,2.7696818377517924e-09,7.6140722590120905e-06,0.0033583644886236727
41.2,0.0010044311407018912,0.0011064423185684902,2.4169318458645155e-09,7.087103226579513e-06,0.003333013689471665
41.300000000000004,0.0009798295409161417,0.001079961459012788,2.10798458654306e-09,6.594746665944172e-06,0.003307854206970111
41.400000000000006,0.0009557618302401471,0.0010540400988007204,1.8375491764000614e-09,6.134865848993058e-06,0.0032828845976364315
